FULL NAME,TEAM,POS,Ortg,DRtg
Patrick Patterson,Lac,F,117.3,104.7
Justin Patton,Okc,C,85.6,95.9
Chris Paul,Okc,G,120.6,103.6
Gary Payton II,Was,G,103.4,105.1
Elfrid Payton,Nyk,G,103.8,107.6
Norvel Pelle,Phi,F,94.8,87.1
Theo Pinson,Bro,G,81.3,101.9
Mason Plumlee,Den,F,118.3,96.3
Jakob Poeltl,San,C,125.2,104
Vincent Poirier,Bos,C,110,87.8
Shamorie Ponds,Tor,G,0,0
Jordan Poole,Gol,G,90.9,111.1
Kevin Porter Jr.,Cle,G,99.3,105.8
Michael Porter Jr.,Den,F,114.9,99
Otto Porter Jr.,Chi,F,111.3,106.9
Bobby Portis,Nyk,F,106.2,107.2
Kristaps Porzingis,Dal,F,110,100.7
Dwight Powell,Dal,F,132.5,103.4
Norman Powell,Tor,G,116.2,102.3
Taurean Prince,Bro,F,94.4,102.1
Chasson Randle,Gol,G,52.7,111.8
Julius Randle,Nyk,C,103.5,105.9
Josh Reaves,Dal,G,,
Cam Reddish,Atl,F,93.2,110.2
JJ Redick,Nor,G,121.9,112.1
Naz Reid,Min,C,107.6,97
Josh Richardson,Phi,G,102.8,104.7
Austin Rivers,Hou,G,112.6,107.5
Glenn Robinson III,Gol,F,112.1,112.5
Glenn Robinson III,Phi,F,116.1,106.3
Duncan Robinson,Mia,F,122,104.7
Jerome Robinson,Lac,G,87.1,99.7
Jerome Robinson,Was,G,94.6,108.2
Justin Robinson,Was,G,105.1,119.1
Mitchell Robinson,Nyk,C,139.4,99.6
Isaiah Roby,Okc,F,0,0
Rajon Rondo,Lal,G,103.8,104.3
Derrick Rose,Det,G,109.5,113.6
Terrence Ross,Orl,G,105.7,107.2
Terry Rozier,Cha,G,106.9,110.5
Ricky Rubio,Pho,G,109.8,105.8
D'Angelo Russell,Gol,G,106.3,112
D'Angelo Russell,Min,G,109,110.5
Domantas Sabonis,Ind,F,114.9,98.9
JaKarr Sampson,Ind,F,115.9,98.7
Dario Saric,Pho,F,109.5,104.6
Tomas Satoransky,Chi,G,111.8,107.9
Admiral Schofield,Was,G,105.9,106.6
Dennis Schroder,Okc,G,107.9,106.2
Mike Scott,Phi,F,112,104.9
Thabo Sefolosha,Hou,F,104.9,101.2
Collin Sexton,Cle,G,108.6,113.2
Landry Shamet,Lac,G,119.9,103.5
Marial Shayok,Phi,G,61.1,110.8
Iman Shumpert,Bro,G,85,102.9
Pascal Siakam,Tor,F,107.7,100.3
Chris Silva,Mia,F,118.9,83.5
Ben Simmons,Phi,F,115.8,100
Anfernee Simons,Por,G,101.7,110.4
Alen Smailagic,Gol,F,111.9,107.4
Marcus Smart,Bos,G,109.9,102.5
Dennis Smith Jr.,Nyk,G,83.9,103
Ish Smith,Was,G,109,115.3
Zhaire Smith,Phi,G,64.5,96.6
Tony Snell,Det,G,122.8,112.2
Omari Spellman,Gol,F,106.5,108.6
Max Strus,Chi,G,0,0
Edmond Sumner,Ind,G,99.1,101.8
Caleb Swanigan,Sac,F,0.00,0.00
Caleb Swanigan,Por,F,98.5,92.4
Jayson Tatum,Bos,F,111,103.5
Jeff Teague,Min,G,115.8,110.6
Jeff Teague,Atl,G,100.2,112.7
Garrett Temple,Bro,G,104.9,106.8
Daniel Theis,Bos,F,127.8,94.2
Isaiah Thomas,Was,G,102.9,114.4
Khyri Thomas,Det,G,74.9,108.4
Matt Thomas,Tor,G,121.1,101
Tristan Thompson,Cle,C,111.6,109.9
Matisse Thybulle,Phi,G,101.7,99.6
Anthony Tolliver,Por,F,105.5,108.1
Anthony Tolliver,Sac,F,56.9,107.1
Anthony Tolliver,Mem,F,102.2,107.3
Juan Toscano-Anderson,Gol,F,97,102.5
Karl-Anthony Towns,Min,C,120.4,103.8
Gary Trent Jr.,Por,G,116.3,113.3
Allonzo Trier,Nyk,G,112.3,108.6
P.J. Tucker,Hou,F,116.4,103.6
Rayjon Tucker,Uta,G,88.4,103.5
Evan Turner,Atl,G,83.3,110.9
Myles Turner,Ind,C,106.8,102.4
Jarrod Uthoff,Mem,F,0,100.9
Jonas Valanciunas,Mem,C,118.1,100.6
Denzel Valentine,Chi,G,100.4,102.6
Jarred Vanderbilt,Den,F,76.2,95.7
Jarred Vanderbilt,Min,F,0,0
Fred VanVleet,Tor,G,111.6,102.9
Gabe Vincent,Mia,G,75.3,109.9
Noah Vonleh,Min,F,119.8,103.1
Noah Vonleh,Den,F,125.6,98.6
Nikola Vucevic,Orl,C,111.7,102.5
Dean Wade,Cle,F,121.6,104.3
Moritz Wagner,Was,F,115.8,98
Dion Waiters,Mia,G,93.5,98.8
Lonnie Walker IV,San,G,101.7,107
Kemba Walker,Bos,G,116.5,107.3
Tyrone Wallace,Atl,G,79.7,106.4
Derrick Walton Jr.,Lac,G,132.2,105.1
Derrick Walton Jr.,Det,G,117.3,105.5
Brad Wanamaker,Bos,G,111.6,101.4
T.J. Warren,Ind,F,114.2,104.5
P.J. Washington,Cha,F,104.1,105.6
Yuta Watanabe,Mem,G,96.6,105.4
Tremont Waters,Bos,G,83,97.6
Paul Watson,Atl,G,27.1,112.3
Paul Watson,Tor,G,0,0
Quinndary Weatherspoon,San,G,0,0
Russell Westbrook,Hou,G,106.8,102
Coby White,Chi,G,99.7,108.3
Derrick White,San,G,116.4,108.2
Hassan Whiteside,Por,C,123.3,102.2
Andrew Wiggins,Min,F,104.4,110.4
Andrew Wiggins,Gol,F,106,110.8
Robert Williams III,Bos,C,121.2,92.5
Nigel Williams-Goss,Uta,G,0.00,0.00
Grant Williams,Bos,F,105.3,96.1
Johnathan Williams,Was,F,131.2,110.8
